county	state	population
Autauga	AL	25508
Baldwin	AL	60141
Barbour	AL	23092
Bibb	AL	13919
Blount	AL	27817
Bullock	AL	11418
Butler	AL	21846
Calhoun	AL	103621
Chambers	AL	36280
Cherokee	AL	16522
Chilton	AL	25630
Choctaw	AL	16516
Clarke	AL	25876
Clay	AL	12926
Cleburne	AL	11165
Coffee	AL	36396
Colbert	AL	50386
Conecuh	AL	15788
Coosa	AL	10720
Covington	AL	34607
Crenshaw	AL	13363
Cullman	AL	54323
Dale	AL	54548
Dallas	AL	55936
DeKalb	AL	43656
Elmore	AL	33857
Escambia	AL	35218
Etowah	AL	94886
Fayette	AL	16095
Franklin	AL	24627
Geneva	AL	22173
Greene	AL	10295
Hale	AL	15601
Henry	AL	13456
Houston	AL	58517
Jackson	AL	40669
Jefferson	AL	649806
Lamar	AL	14678
Lauderdale	AL	70157
Lawrence	AL	27408
Lee	AL	61895
Limestone	AL	41954
Lowndes	AL	13255
Macon	AL	25273
Madison	AL	188553
Marengo	AL	23396
Marion	AL	25441
Marshall	AL	55909
Mobile	AL	323275
Monroe	AL	21113
Montgomery	AL	169878
Morgan	AL	80252
Perry	AL	15355
Pickens	AL	20352
Pike	AL	25140
Randolph	AL	18599
Russell	AL	45623
St. Clair	AL	29546
Shelby	AL	40109
Sumter	AL	15819
Talladega	AL	64751
Tallapoosa	AL	33755
Tuscaloosa	AL	119591
Walker	AL	58705
Washington	AL	16458
Wilcox	AL	16245
Winston	AL	17730
Aleutians East	AK	0
Aleutians West	AK	8023
Anchorage	AK	134609
Bethel	AK	0
Bristol Bay	AK	1178
Denali	AK	0
Dillingham	AK	3571
Fairbanks North Star	AK	47258
Haines	AK	1722
Hoonah-Angoon	AK	2685
Juneau	AK	14671
Kenai Peninsula	AK	16483
Ketchikan Gateway	AK	10576
Kodiak Island	AK	9445
Lake and Peninsula	AK	0
Matanuska-Susitna	AK	7256
Nome	AK	5818
North Slope	AK	2719
Northwest Arctic	AK	4473
Petersburg	AK	5678
Prince of Wales-Hyder	AK	3699
Sitka	AK	6424
Skagway	AK	0
Southeast Fairbanks	AK	4245
Valdez-Cordova	AK	5357
Wade Hampton	AK	3940
Wrangell	AK	0
Yakutat	AK	0
Yukon-Koyukuk	AK	0
Apache	AZ	35537
Cochise	AZ	67149
Coconino	AZ	53330
Gila	AZ	30973
Graham	AZ	17452
Greenlee	AZ	11171
La Paz	AZ	0
